Act	Type	Id	Description
3	2	107	an Evil Force
3	2	108	high torch
3	2	109	an Evil Force
3	2	110	Hratli
3	2	111	Stairs open by the Compelling Orb
3	2	112	golden chest
3	2	113	Khalim's Heart chest
3	2	114	Khalim's Eye chest
3	2	115	Khalim's Brain chest
4	1	0	2-4 champion monsters(random)
4	1	1	# invisible spike ball trap
4	1	2	# ?
4	1	3	# health shrine
4	1	4	health shrine
4	1	5	# health shrine
4	1	6	# ?
4	1	7	Tyrael
4	1	8	stained glass 1
4	1	9	stained glass 2
4	1	10	Jamella
4	1	11	Halbu
4	1	12	empty
4	1	13	Izual
4	1	14	# Diablo
4	1	15	# Dark Wing
4	1	16	# The Tormentor
4	1	17	# Taintbreeder
4	1	18	# Riftwraith the Cannibal
4	1	19	# Infector of Souls
4	1	20	# Lord de Sies
4	1	21	# Grand Vizier of Chaos
4	1	22	trapped soul 1
4	1	23	trapped soul 2
4	1	24	maw fiend
4	1	25	Cain
4	1	26	Hadriel
4	1	27	Hephasto
4	1	28	# skeleton enemy
4	2	0	WP - second one, in fortress.ds1 wp=52
4	2	1	chest - small
4	2	2	stash
4	2	3	# invisible object (An Evil Force)
4	2	4	# small chest with gold around
4	2	5	# empty
4	2	6	# empty
4	2	7	# empty
4	2	8	fire - small
4	2	9	fire - medium
4	2	10	fire - big
4	2	11	lava - big
4	2	12	lava - medium
4	2	13	lava - small
4	2	14	empty
4	2	15	empty
4	2	16	empty
4	2	17	fire lamp - skeletons hung with chains 1
4	2	18	fire lamp - skeletons hung with chains 2
4	2	19	# hung skeleton (tresure)
4	2	20	skeleton rising from lava 1
4	2	21	skeleton rising from lava 2
4	2	22	bone chest (treasure)
4	2	23	fog - flat
4	2	24	shrine - health
4	2	25	# shrine - mana
4	2	26	# shrine - random - type 1
4	2	27	# shrine - random - type 2
4	2	28	# shrine - random - type 3
4	2	29	shrine - mana
4	2	30	# shrine - random - type 1
4	2	31	# shrine - random - type 2
4	2	32	# shrine - health
4	2	33	shrine - random - type 3
4	2	34	skullpile (treasure)
4	2	35	# pillar - treasure (unused type!)
4	2	36	# pillar - treasure
4	2	37	# pillar - hidden stash
4	2	38	skullpile (treasure)
4	2	39	# hung skeleton - hidden stash
4	2	40	# bone chest - hidden stash
4	2	41	# DON'T USE!! CRASHES THE GAME
4	2	42	hell forge
4	2	43	ray of light 1
4	2	44	ray of light 2
4	2	45	# portal
4	2	46	Diablo spawn point
4	2	47	seal 1
4	2	48	seal 2
4	2	49	seal 3
4	2	50	seal 4
4	2	51	seal 5
4	2	52	waypoint in Fortress.ds1
4	2	53	chest (treasure, shining one)
4	2	54	fissure
4	2	55	fog - vertical
4	2	56	firelamp
4	2	57	trapped soul 1
4	2	58	trapped soul 2
4	2	59	trapped soul 3
4	2	60	hung torch 1
4	2	61	hung torch 2
4	2	62	firelamp - big
4	2	63	firelamp - small
4	2	64	firelamp - medium
4	2	65	firelamp - hung
5	1	0	# Larzuk
5	1	1	# Anya
5	1	2	Mallah
5	1	3	Nihlathak
5	1	4	Qual-Kehk
5	1	5	Demon Imp - group
5	1	6	Shenk the Overseer
5	1	7	# Tyrael
5	1	8	# Cain
5	1	9	Demon Imp - single
5	1	10	Enslaved - single
5	1	11	Enslaved - group
5	1	12	Catapult 1
5	1	13	Catapult 2
5	1	14	Moon Lord
5	1	15	Catapult 3
5	1	16	Poison Catapult?
5	1	17	Barbarian Combatant
5	1	18	Dead Barbarian
5	1	19	dead enslaved
5	1	20	burned corpse
5	1	21	Cain
5	1	22	# Barbarian Combatant - will help you in restricted region
5	1	23	rising prowling dead
5	1	24	Madewic
5	1	25	Korlic
5	1	26	Talic
5	1	27	Dac Farren
5	1	28	Baal - one before throne room
5	1	29	?
5	1	30	Dieing barbarian 1
5	1	31	Dieing barbarian 2
5	1	32	Dieing barbarian 3
5	1	33	Baal
5	1	34	# Axe Dweller
5	1	35	Boneaw Breaker
5	1	36	Edritch the Rectifier
5	1	37	Eyeback the Unleashed
5	1	38	Sharptooth Slayer
5	1	39	Pindleskin
5	1	40	Snapchip Shatter
5	1	41	# Hells Belle
5	1	42	# Vinvear Molech
5	1	43	Thresh Socket
5	1	44	# Magma Torquer
5	1	45	Blaze Ripper
5	1	46	Frozenstein
5	1	47	Tyrael spawn point in world chamber ?
5	1	48	?
5	1	49	?
5	1	50	Evil Demon Hut(Demon Sprites)
5	2	0	?
5	2	1	?
5	2	2	# noname house(crash if selected)
5	2	3	# noname fire altar(crash if selected)
5	2	4	# stash
5	2	5	?
5	2	6	torch
5	2	7	# strange fire on ground
5	2	8	flag (\ direction)
5	2	9	flag (/ direction)
5	2	10	candles- act 1 (\ direction)
5	2	11	candles- act 1 (/ direction)
5	2	12	# torch on wall
5	2	13	# fire on stand
5	2	14	# fire on wooden stand
5	2	15	# dead barbarian on fire
5	2	16	# large hole on fire(wood around it)
5	2	17	fire on stove
5	2	18	fire on larger stand
5	2	19	brown flag (\ direction)
5	2	20	skinny flag (\ direction)
5	2	21	skinny flag (/ direction)
5	2	22	chandelier
5	2	23	waypoint
5	2	24	wooden chest (/ direction)
5	2	25	wooden chest (\ direction)
5	2	26	?
5	2	27	?
5	2	28	?
5	2	29	# ?
5	2	30	?
5	2	31	?
5	2	32	?
5	2	33	?
5	2	34	?
5	2	44	stash
5	2	45	?
5	2	46	?
5	2	47	?
5	2	48	?
5	2	49	?
5	2	50	?
5	2	53	?
5	2	54	?
5	2	56	?
5	2	57	?
5	2	58	?
5	2	59	?
5	2	60	?
5	2	61	?
5	2	62	?
5	2	66	?
5	2	67	?
5	2	68	?
5	2	69	?
5	2	70	?
5	2	71	?
5	2	73	?
5	2	75	?
5	2	76	?
5	2	80	?
5	2	82	?
5	2	83	?
5	2	94	?
5	2	95	?
5	2	96	?
5	2	97	?
5	2	101	?
5	2	103	?
5	2	105	?
5	2	106	?
5	2	107	?
5	2	109	?
5	2	110	?
5	2	111	?
5	2	112	?
5	2	113	?
5	2	114	?
5	2	115	?
5	2	116	?
5	2	117	?
5	2	118	?
5	2	119	?
5	2	120	?
5	2	121	?
5	2	122	?
5	2	123	?
5	2	125	?
5	2	126	Larzuk
5	2	127	Ancients Altar
5	2	128	Door to Worldstone Keep
5	2	129	?
5	2	130	?
5	2	131	?
5	2	132	?
5	2	134	?
5	2	135	?
5	2	138	?
5	2	139	?
5	2	140	?
5	2	141	?
5	2	142	Arreat Summit entrance door
5	2	145	?
5	2	146	?
5	2	147	?
5	2	148	?
5	2	149	?
6	1	5	?
